gene_symbol	direction	rank_in_direction	delta
LCP1	sensitivity	1	2.06699836
IKZF1	sensitivity	2	2.01281801
PTPRC	sensitivity	3	1.95778806
WAS	sensitivity	4	1.89875887
CXCR4	sensitivity	5	1.82070505
MYB	sensitivity	6	1.79543061
INPP5D	sensitivity	7	1.77696274
RHOH	sensitivity	8	1.76372687
CD74	sensitivity	9	1.71501804
BTK	sensitivity	10	1.66997804
CD79B	sensitivity	11	1.62350879
P2RY8	sensitivity	12	1.61184017
POU2AF1	sensitivity	13	1.57514867
IRF4	sensitivity	14	1.4769962
CD79A	sensitivity	15	1.46900155
KLHL6	sensitivity	16	1.45110031
FLI1	sensitivity	17	1.39050628
RAC2	sensitivity	18	1.34483957
CBFA2T3	sensitivity	19	1.3051667
SEPTIN6	sensitivity	20	1.301618
LEF1	sensitivity	21	1.29078471
LYL1	sensitivity	22	1.28978149
MEF2C	sensitivity	23	1.26099458
PRKCB	sensitivity	24	1.18978742
PIK3CG	sensitivity	25	1.15802553
BCL2	sensitivity	26	1.1525782
TNFRSF17	sensitivity	27	1.13161253
LMO2	sensitivity	28	1.0892014
IKZF3	sensitivity	29	1.02247521
BTG2	sensitivity	30	1.01716145
PLK2	resistance	1	-2.3605623
CAV1	resistance	2	-2.32932892
ABCC3	resistance	3	-2.22332557
SDC4	resistance	4	-2.17215034
NQO1	resistance	5	-2.14940379
CCND1	resistance	6	-2.12620473
MET	resistance	7	-2.10647655
YAP1	resistance	8	-2.06456013
DKK1	resistance	9	-1.99580133
ERRFI1	resistance	10	-1.9779455
EGFR	resistance	11	-1.97125474
MAL2	resistance	12	-1.92044652
WWTR1	resistance	13	-1.9008669
AXL	resistance	14	-1.8565294
ALDH1A3	resistance	15	-1.75024505
TACSTD2	resistance	16	-1.71597469
FSTL1	resistance	17	-1.68385934
EPCAM	resistance	18	-1.63292888
ELF3	resistance	19	-1.58691121
DKK3	resistance	20	-1.57519012
CD276	resistance	21	-1.56473721
AJUBA	resistance	22	-1.54605223
FAT1	resistance	23	-1.53148142
CDH1	resistance	24	-1.51479317
DDR1	resistance	25	-1.50608549
EPAS1	resistance	26	-1.46249865
ID1	resistance	27	-1.45805857
LMNA	resistance	28	-1.41882309
HMGA2	resistance	29	-1.40331612
KLF5	resistance	30	-1.37745272
