gene_symbol	direction	rank_in_direction	delta
TNFRSF17	sensitivity	1	1.7819614
IRF4	sensitivity	2	1.63027684
POU2AF1	sensitivity	3	1.42562119
CD79B	sensitivity	4	1.18733187
IKZF3	sensitivity	5	1.16429111
PRF1	sensitivity	6	1.0754296
TCL1B	sensitivity	7	0.956910396
PIM1	sensitivity	8	0.934573028
TENT5C	sensitivity	9	0.932513652
SAMD9L	sensitivity	10	0.908683768
CAV1	sensitivity	11	0.895459653
SAMD9	sensitivity	12	0.873405144
TCL1A	sensitivity	13	0.867067485
TSHR	sensitivity	14	0.863365716
JAK3	sensitivity	15	0.845428046
ID3	sensitivity	16	0.822814616
LEF1	sensitivity	17	0.814972986
BACH2	sensitivity	18	0.80942727
AIM2	sensitivity	19	0.799068462
MS4A1	sensitivity	20	0.781761101
ALOX5	sensitivity	21	0.723710388
BIRC3	sensitivity	22	0.717611608
MSI2	sensitivity	23	0.703694597
CD28	sensitivity	24	0.697419586
SETD7	sensitivity	25	0.684873264
UCHL1	sensitivity	26	0.676002872
KLF2	sensitivity	27	0.672633377
XBP1	sensitivity	28	0.661905718
MAGED1	sensitivity	29	0.661371011
PRDM1	sensitivity	30	0.656775326
CSF3R	resistance	1	-1.47602327
SEPTIN5	resistance	2	-1.30185702
PTPN6	resistance	3	-1.2513225
LMO2	resistance	4	-1.22860457
GNAQ	resistance	5	-1.11977218
CEBPA	resistance	6	-1.08110114
PIK3CD	resistance	7	-1.04356543
IRS2	resistance	8	-0.943470399
PRKCB	resistance	9	-0.906467741
ADGRA2	resistance	10	-0.894939989
GATA2	resistance	11	-0.857224697
LYL1	resistance	12	-0.841282088
FLT3	resistance	13	-0.828889862
SLFN11	resistance	14	-0.823117148
STAT5A	resistance	15	-0.814904356
HOXA9	resistance	16	-0.804060988
RUNX1	resistance	17	-0.771124409
IRF8	resistance	18	-0.767174965
HGF	resistance	19	-0.754587275
MEF2C	resistance	20	-0.723956881
SESN3	resistance	21	-0.721766304
TLE4	resistance	22	-0.710868728
IDH2	resistance	23	-0.696765465
SLC45A3	resistance	24	-0.696014665
NFE2	resistance	25	-0.694039267
CLTCL1	resistance	26	-0.675431145
TNFSF13	resistance	27	-0.671195165
ZNF521	resistance	28	-0.669026251
AKT3	resistance	29	-0.645639228
ELF4	resistance	30	-0.639107603
